Handle,Title,,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
horizon-zero-dawn-complete-edition-playstation-4,Horizon Zero Dawn: Complete Edition - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,6138365,91,shopify,1,deny,manual,19.99,,true,true,711719516118,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6138365_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533436028,1,,false,,,,,,,,,,,,,,,,,lb,,
sony-playstation-4-1tb-console-black,Sony - PlayStation 4 1TB Console - Black,,The Underground Games,console,,true,Title,Default Title,,,,,5850905,3357,shopify,1,deny,manual,299.99,,true,true,711719521112,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5850905_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533432455,1,,false,,,,,,,,,,,,,,,,,lb,,
sony-playstation-vr-doom-vfr-bundle,Sony - PlayStation VR DOOM VFR Bundle,,The Underground Games,PS4VR,,true,Title,Default Title,,,,,6162261,3357,shopify,1,deny,manual,199.99,299.99,true,true,711719513728,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6162261cv11d.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533431862,1,,false,,,,,,,,,,,,,,,,,lb,,
sony-playstation-vr-doom-vfr-bundle,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6162261_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533431863,2,,,,,,,,,,,,,,,,,,,,,
doom-playstation-4,DOOM - PlayStation 4,,The Underground Games,game,,true,Condition,New,,,,,8383097,91,shopify,0,deny,manual,19.99,,true,true,93155170223,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/8383097_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533431381,1,,false,,,,,,,,,,,,,,,,,lb,,
doom-playstation-4,,,,,,,,Preowned,,,,,8383098,91,shopify,1,deny,manual,14.99,19.99,true,true,886162557923,,,,,,,,,,,,,,,,,,,,,lb,,
doom-xbox-one,DOOM - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,8383834,91,shopify,1,deny,manual,19.99,,true,true,93155170216,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/8383834_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533431252,1,,false,,,,,,,,,,,,,,,,,lb,,
doom-nintendo-switch,DOOM - Nintendo Switch,,The Underground Games,game,,true,Title,Default Title,,,,,6115414,91,shopify,1,deny,manual,59.99,,true,true,45496591809,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6115414_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533431113,1,,false,,,,,,,,,,,,,,,,,lb,,
anthem-playstation-4,Anthem - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,6259290,91,shopify,1,continue,manual,59.99,,true,true,14633369960,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6259290_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533429595,1,,false,,,,,,,,,,,,,,,,,lb,,
anthem-xbox-one,Anthem - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,6259288,91,shopify,1,continue,manual,59.99,,true,true,14633735253,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6259288_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533429509,1,,false,,,,,,,,,,,,,,,,,lb,,
anthem-legion-of-dawn-edition-xbox-one,Anthem Legion of Dawn Edition - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,6259293,91,shopify,1,continue,manual,79.99,,true,true,14633739190,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6259293_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533360339,1,,false,,,,,,,,,,,,,,,,,lb,,
anthem-legion-of-dawn-edition-playstation-4,Anthem Legion of Dawn Edition - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,6259295,91,shopify,1,continue,manual,79.99,,true,true,14633739183,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6259295_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533348174,1,,false,,,,,,,,,,,,,,,,,lb,,
